Name,QuestionID,Guess,Term
Joker the Marvelous,Q1_green_squares,150,2021_22_fall
Joker the Marvelous,Q2_red_circles,160,2021_22_fall
Joker the Marvelous,Q3_black_triangles,155,2021_22_fall
Joker the Marvelous,Q4_blue_crosses,210,2021_22_fall
Joker the Marvelous,Q5_purple_circles,200,2021_22_fall
Sherlock Holmes,Q1_green_squares,350,2021_22_fall
Sherlock Holmes,Q2_red_circles,400,2021_22_fall
Sherlock Holmes,Q3_black_triangles,700,2021_22_fall
Sherlock Holmes,Q4_blue_crosses,1000,2021_22_fall
Sherlock Holmes,Q5_purple_circles,150,2021_22_fall
XY0001,Q1_green_squares,600,2021_22_fall
XY0001,Q2_red_circles,600,2021_22_fall
XY0001,Q3_black_triangles,600,2021_22_fall
XY0001,Q4_blue_crosses,2000,2021_22_fall
XY0001,Q5_purple_circles,200,2021_22_fall
1111,Q1_green_squares,300,2021_22_fall
1111,Q2_red_circles,400,2021_22_fall
1111,Q3_black_triangles,300,2021_22_fall
1111,Q4_blue_crosses,1000,2021_22_fall
1111,Q5_purple_circles,100,2021_22_fall
XY0002,Q1_green_squares,200,2021_22_fall
XY0002,Q2_red_circles,220,2021_22_fall
XY0002,Q3_black_triangles,250,2021_22_fall
XY0002,Q4_blue_crosses,500,2021_22_fall
XY0002,Q5_purple_circles,120,2021_22_fall
XY0003,Q1_green_squares,250,2021_22_fall
XY0003,Q2_red_circles,300,2021_22_fall
XY0003,Q3_black_triangles,250,2021_22_fall
XY0003,Q4_blue_crosses,350,2021_22_fall
XY0003,Q5_purple_circles,200,2021_22_fall
some guy,Q1_green_squares,250,2021_22_fall
some guy,Q2_red_circles,500,2021_22_fall
some guy,Q3_black_triangles,400,2021_22_fall
some guy,Q4_blue_crosses,700,2021_22_fall
some guy,Q5_purple_circles,100,2021_22_fall
c1p8,Q1_green_squares,200,2021_22_fall
c1p8,Q2_red_circles,250,2021_22_fall
c1p8,Q3_black_triangles,250,2021_22_fall
c1p8,Q4_blue_crosses,350,2021_22_fall
